accuracy,precision,recall,f2,batch_id,batch_start,batch_end,batch_size,train_pos_ratio,val_pos_ratio,train_samples,val_samples,batch_seconds
1.0,1.0,1.0,1.0,1,0,10000,10000,0.5,0.0255,15594,2000,218.13756799697876
0.9995,0.994475138121547,1.0,0.9988901220865705,2,10000,20000,10000,0.5,0.09,14562,2000,91.64175415039062
0.9975,0.9431818181818182,1.0,0.9880952380952381,3,20000,30000,10000,0.5,0.0415,15340,2000,84.96389698982239
0.9975,0.9754098360655737,0.9834710743801653,0.9818481848184818,4,30000,40000,10000,0.5,0.0605,15034,2000,119.33619618415833
0.9985,0.9968553459119497,0.9937304075235109,0.9943538268506901,5,40000,50000,10000,0.5,0.1595,13450,2000,43.896355628967285
0.971,0.4528301886792453,1.0,0.8053691275167785,6,50000,60000,10000,0.5,0.024,15616,2000,36.135108947753906
0.992,0.7021276595744681,0.9428571428571428,0.8823529411764706,7,60000,70000,10000,0.5,0.0175,15720,2000,103.85041236877441
1.0,1.0,1.0,1.0,8,70000,80000,10000,0.5,0.254,11940,2000,162.1187608242035
0.9945,0.9554655870445344,1.0,0.9907640638119227,9,80000,90000,10000,0.5,0.118,14108,2000,49.615071296691895
0.997,0.9904912836767037,1.0,0.9980836793356755,10,90000,100000,10000,0.5,0.3125,11000,2000,103.27999329566956
0.9975,0.9880597014925373,0.9969879518072289,0.995189416716777,11,100000,110000,10000,0.5,0.166,13342,2000,61.4613242149353
0.963,0.9343863912515188,0.9746514575411914,0.9663231967831113,12,110000,120000,10000,0.5,0.3945,9690,2000,89.12129330635071
0.969,0.22666666666666666,0.8095238095238095,0.5345911949685535,13,120000,130000,10000,0.5,0.0105,15830,2000,82.28948044776917
0.901,0.32936507936507936,0.7410714285714286,0.5928571428571429,14,130000,140000,10000,0.5,0.056,15108,2000,50.011688470840454
0.688,0.15625,0.7857142857142857,0.435126582278481,15,140000,150000,10000,0.5,0.07,14880,2000,47.12198543548584
